source_markdown_file,line,context,reference_type,referenced_text,referenced_path,resolved_target_path,exists_now,migration_action_needed,suggested_new_path,confidence
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,10,prose,raw_path_mention,ns-practice-ta-grading-2026s/,ns-practice-ta-grading-2026s/,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,28,prose,raw_path_mention,ns-practice-ta-grading-2026s/,ns-practice-ta-grading-2026s/,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,28,prose,raw_path_mention,ns-practice-ta-grading-2026s/docs/hw5-rubric.md,ns-practice-ta-grading-2026s/docs/hw5-rubric.md,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s/docs/hw5-rubric.md,false,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s/docs/hw5_rubric.md,medium
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,28,prose,raw_path_mention,ns-practice-ta-grading-2026s/docs/hw6-rubric.md,ns-practice-ta-grading-2026s/docs/hw6-rubric.md,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s/docs/hw6-rubric.md,false,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s/docs/hw6_rubric.md,medium
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,57,prose,raw_path_mention,ns-practice-ta-grading-2026s/,ns-practice-ta-grading-2026s/,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,58,prose,raw_path_mention,ns-practice-ta-grading-2026s/course_materials/hw5/,ns-practice-ta-grading-2026s/course_materials/hw5/,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s/course_materials/hw5,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s/course_materials/hw5,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,58,prose,raw_path_mention,ns-practice-ta-grading-2026s/submissions/hw5/,ns-practice-ta-grading-2026s/submissions/hw5/,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s/submissions/hw5,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s/submissions/hw5,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,59,prose,raw_path_mention,ns-practice-ta-grading-2026s/course_materials/hw5/,ns-practice-ta-grading-2026s/course_materials/hw5/,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s/course_materials/hw5,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s/course_materials/hw5,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,60,prose,raw_path_mention,ns-practice-ta-grading-2026s/course_materials/hw6/,ns-practice-ta-grading-2026s/course_materials/hw6/,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s/course_materials/hw6,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s/course_materials/hw6,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,60,prose,raw_path_mention,ns-practice-ta-grading-2026s/submissions/hw6/,ns-practice-ta-grading-2026s/submissions/hw6/,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s/submissions/hw6,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s/submissions/hw6,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,69,prose,raw_path_mention,ns-practice-ta-grading-2026s/,ns-practice-ta-grading-2026s/,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,70,prose,raw_path_mention,ns-practice-ta-grading-2026s/course_materials/hw5/rename_map.csv,ns-practice-ta-grading-2026s/course_materials/hw5/rename_map.csv,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s/course_materials/hw5/rename_map.csv,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s/course_materials/hw5/rename_map.csv,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,71,prose,raw_path_mention,ns-practice-ta-grading-2026s/course_materials/hw5/mnist-verification.md,ns-practice-ta-grading-2026s/course_materials/hw5/mnist-verification.md,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s/course_materials/hw5/mnist-verification.md,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s/course_materials/hw5/mnist-verification.md,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,72,prose,raw_path_mention,ns-practice-ta-grading-2026s/course_materials/hw6/rename_map.csv,ns-practice-ta-grading-2026s/course_materials/hw6/rename_map.csv,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s/course_materials/hw6/rename_map.csv,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s/course_materials/hw6/rename_map.csv,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,73,prose,raw_path_mention,ns-practice-ta-grading-2026s/submissions/hw5/student_file_map.csv,ns-practice-ta-grading-2026s/submissions/hw5/student_file_map.csv,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s/submissions/hw5/student_file_map.csv,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s/submissions/hw5/student_file_map.csv,high
data/projects/2026-04-bebn20024-deep-learning-ta-hw5-hw6.md,73,prose,raw_path_mention,ns-practice-ta-grading-2026s/submissions/hw6/student_file_map.csv,ns-practice-ta-grading-2026s/submissions/hw6/student_file_map.csv,/home/jnclaw/every_on_git_jnclaw/planning-everything-track/ns-practice-ta-grading-2026s/submissions/hw6/student_file_map.csv,true,rewrite_or_stub,/home/jnclaw/every_on_git_jnclaw/ns-practice-ta-grading-2026s/submissions/hw6/student_file_map.csv,high
